,sta,ondate,offdate,lat,lon,elev,staname,statype,refsta,dnorth,deast,lddate,type
0,AHID,2007135,-1,42.7654,-111.1004,1.96,-,-,-,0,0,2019-Jan-14,UTTR
1,AMD,2007135,-1,36.4526,-116.2818,0.7754,-,-,-,0,0,2019-Jan-14,UTTR
2,ARGU,2007135,-1,39.8228,-110.5437,2.828,-,-,-,0,0,2019-Jan-14,UTTR
3,ARUT,2007135,-1,37.788,-113.4403,1.646,-,-,-,0,0,2019-Jan-14,UTTR
4,BBU,2007135,-1,40.7455,-112.0112,1.291,-,-,-,0,0,2019-Jan-14,UTTR
5,BCE,2007135,-1,39.6131,-110.4084,2.666,-,-,-,0,0,2019-Jan-14,UTTR
6,BCW,2007135,-1,39.7303,-110.7425,2.614,-,-,-,0,0,2019-Jan-14,UTTR
7,BCYI,2007135,-1,44.3108,-113.4052,2.194,-,-,-,0,0,2019-Jan-14,UTTR
8,BEI,2007135,-1,42.1167,-111.7823,1.859,-,-,-,0,0,2019-Jan-14,UTTR
9,BEK,2007135,-1,39.8666,-120.3596,1.743,-,-,-,0,0,2019-Jan-14,UTTR
10,BGMT,2007135,-1,45.2333,-112.0405,2.172,-,-,-,0,0,2019-Jan-14,UTTR
11,BGU,2007135,-1,40.9208,-113.0298,1.64,-,-,-,0,0,2019-Jan-14,UTTR
12,BHU,2007135,-1,37.5939,-112.8621,3.25,-,-,-,0,0,2019-Jan-14,UTTR
13,BMO,2007135,-1,44.8525,-117.306,1.154,-,-,-,0,0,2019-Jan-14,UTTR
14,BMUT,2007135,-1,41.9582,-111.2342,2.243,-,-,-,0,0,2019-Jan-14,UTTR
15,BOZ,2007135,-1,45.597,-111.6297,1.589,-,-,-,0,0,2019-Jan-14,UTTR
16,BPMT,2007135,-1,46.4375,-113.4463,2.408,-,-,-,0,0,2019-Jan-14,UTTR
17,BTU,2007135,-1,37.7557,-111.8743,3.235,-,-,-,0,0,2019-Jan-14,UTTR
18,BURN,2007135,-1,43.5729,-119.1313,1.615,-,-,-,0,0,2019-Jan-14,UTTR
19,BUT,2007135,-1,46.0108,-112.5567,1.758,-,-,-,0,0,2019-Jan-14,UTTR
20,BW06,2007135,-1,42.7667,-109.5583,2.224,-,-,-,0,0,2019-Jan-14,UTTR
21,BZMT,2007135,-1,45.6482,-110.7967,1.905,-,-,-,0,0,2019-Jan-14,UTTR
22,CCUT,2007135,-1,37.5506,-113.3627,2.127,-,-,-,0,0,2019-Jan-14,UTTR
23,CHMT,2007135,-1,46.9143,-113.252,2.077,-,-,-,0,0,2019-Jan-14,UTTR
24,CNCI,2007135,-1,43.929,-113.453,1.914,-,-,-,0,0,2019-Jan-14,UTTR
25,COMI,2007135,-1,43.4618,-113.5938,1.89,-,-,-,0,0,2019-Jan-14,UTTR
26,CRBI,2007135,-1,43.8303,-112.6345,1.543,-,-,-,0,0,2019-Jan-14,UTTR
27,CTU,2007135,-1,40.6925,-111.7503,1.731,-,-,-,0,0,2019-Jan-14,UTTR
28,CWU,2007135,-1,40.4458,-112.1022,1.945,-,-,-,0,0,2019-Jan-14,UTTR
